Well number,Condition,Sample
O14,disease,P3
P14,disease,P3
A15,disease,P3
B15,disease,P3
C15,disease,P3
D15,disease,P3
E15,disease,P3
F15,disease,P3
G15,disease,P3
H15,disease,P3
I15,disease,P3
J15,disease,P3
K15,disease,P3
L15,disease,P3
M15,disease,P3
N15,disease,P3
O15,disease,P3
P15,disease,P3
A19,disease,P4
B19,disease,P4
C19,disease,P4
D19,disease,P4
E19,disease,P4
F19,disease,P4
G19,disease,P4
H19,disease,P4
I19,disease,P4
J19,disease,P4
K19,disease,P4
L19,disease,P4
M19,disease,P4
N19,disease,P4
O19,disease,P4
A20,disease,P4
B20,disease,P4
C20,disease,P4
D20,disease,P4
E20,disease,P4
F20,disease,P4
G20,disease,P4
H20,disease,P4
I20,disease,P4
J20,disease,P4
K20,disease,P4
L20,disease,P4
M20,disease,P4
N20,disease,P4
O20,disease,P4
P20,disease,P4
A21,disease,P4
B21,disease,P4
C21,disease,P4
D21,disease,P4
E21,disease,P4
F21,disease,P4
G21,disease,P4
H21,disease,P4
I21,disease,P4
J21,disease,P4
K21,disease,P4
L21,disease,P4
M21,disease,P4
N21,disease,P4
O21,disease,P4
P21,disease,P4
A22,disease,P5
B22,disease,P5
C22,disease,P5
D22,disease,P5
E22,disease,P5
F22,disease,P5
G22,disease,P5
H22,disease,P5
I22,disease,P5
J22,disease,P5
K22,disease,P5
L22,disease,P5
M22,disease,P5
N22,disease,P5
O22,disease,P5
A23,disease,P5
B23,disease,P5
C23,disease,P5
D23,disease,P5
E23,disease,P5
F23,disease,P5
G23,disease,P5
H23,disease,P5
I23,disease,P5
J23,disease,P5
K23,disease,P5
L23,disease,P5
M23,disease,P5
N23,disease,P5
O23,disease,P5
P23,disease,P5
A24,disease,P5
B24,disease,P5
C24,disease,P5
D24,disease,P5
E24,disease,P5
F24,disease,P5
G24,disease,P5
H24,disease,P5
I24,disease,P5
J24,disease,P5
K24,disease,P5
L24,disease,P5
M24,disease,P5
N24,disease,P5
O24,disease,P5
P24,disease,P5
SRR1810679,no disease,GSE66053
SRR1810680,no disease,GSE66053
SRR1810681,no disease,GSE66053
SRR1810682,no disease,GSE66053
SRR1810683,no disease,GSE66053
SRR1810684,no disease,GSE66053
SRR1810685,no disease,GSE66053
SRR1810686,no disease,GSE66053
SRR1810687,no disease,GSE66053
SRR1810688,no disease,GSE66053
SRR1810689,no disease,GSE66053
SRR1810690,no disease,GSE66053
SRR1810691,no disease,GSE66053
SRR1810692,no disease,GSE66053
SRR1810693,no disease,GSE66053
SRR1810694,no disease,GSE66053
SRR1810695,no disease,GSE66053
SRR1810696,no disease,GSE66053
SRR1810697,no disease,GSE66053
SRR1810698,no disease,GSE66053
SRR1810699,no disease,GSE66053
SRR1810700,no disease,GSE66053
SRR1810701,no disease,GSE66053
SRR1810702,no disease,GSE66053
SRR1810703,no disease,GSE66053
SRR1810704,no disease,GSE66053
SRR1810705,no disease,GSE66053
SRR1810706,no disease,GSE66053
SRR1810707,no disease,GSE66053
SRR1810708,no disease,GSE66053
SRR1810709,no disease,GSE66053
SRR1810710,no disease,GSE66053
SRR1810711,no disease,GSE66053
SRR1810712,no disease,GSE66053
SRR1810713,no disease,GSE66053
SRR1810714,no disease,GSE66053
SRR1810715,no disease,GSE66053
SRR1810716,no disease,GSE66053
SRR1810717,no disease,GSE66053
SRR1810718,no disease,GSE66053
SRR1810719,no disease,GSE66053
SRR1810720,no disease,GSE66053
SRR1810721,no disease,GSE66053
SRR1810722,no disease,GSE66053
SRR1810723,no disease,GSE66053
SRR1810724,no disease,GSE66053
SRR1810725,no disease,GSE66053
SRR1810726,no disease,GSE66053
SRR1810727,no disease,GSE66053
SRR1810728,no disease,GSE66053
SRR1810729,no disease,GSE66053
SRR1810730,no disease,GSE66053
SRR1810731,no disease,GSE66053
SRR1810732,no disease,GSE66053
SRR1810733,no disease,GSE66053
SRR1810734,no disease,GSE66053
SRR1810735,no disease,GSE66053
SRR1810736,no disease,GSE66053
SRR1810737,no disease,GSE66053
SRR1810738,no disease,GSE66053
SRR1810739,no disease,GSE66053
SRR1810740,no disease,GSE66053
SRR1810741,no disease,GSE66053
SRR1810742,no disease,GSE66053
SRR1810743,no disease,GSE66053
SRR1810744,no disease,GSE66053
SRR1810745,no disease,GSE66053
SRR1810746,no disease,GSE66053
SRR1810747,no disease,GSE66053
SRR1810748,no disease,GSE66053
SRR1810749,no disease,GSE66053
SRR1810750,no disease,GSE66053
SRR1810751,no disease,GSE66053
SRR1810752,no disease,GSE66053
