Well number,Condition,Sample
O14,disease,P3
P14,disease,P3
A15,disease,P3
B15,disease,P3
C15,disease,P3
D15,disease,P3
E15,disease,P3
F15,disease,P3
G15,disease,P3
H15,disease,P3
I15,disease,P3
J15,disease,P3
K15,disease,P3
L15,disease,P3
M15,disease,P3
N15,disease,P3
O15,disease,P3
P15,disease,P3
A19,disease,P4
B19,disease,P4
C19,disease,P4
D19,disease,P4
E19,disease,P4
F19,disease,P4
G19,disease,P4
H19,disease,P4
I19,disease,P4
J19,disease,P4
K19,disease,P4
L19,disease,P4
M19,disease,P4
N19,disease,P4
O19,disease,P4
A20,disease,P4
B20,disease,P4
C20,disease,P4
D20,disease,P4
E20,disease,P4
F20,disease,P4
G20,disease,P4
H20,disease,P4
I20,disease,P4
J20,disease,P4
K20,disease,P4
L20,disease,P4
M20,disease,P4
N20,disease,P4
O20,disease,P4
P20,disease,P4
A21,disease,P4
B21,disease,P4
C21,disease,P4
D21,disease,P4
E21,disease,P4
F21,disease,P4
G21,disease,P4
H21,disease,P4
I21,disease,P4
J21,disease,P4
K21,disease,P4
L21,disease,P4
M21,disease,P4
N21,disease,P4
O21,disease,P4
P21,disease,P4
A22,disease,P5
B22,disease,P5
C22,disease,P5
D22,disease,P5
E22,disease,P5
F22,disease,P5
G22,disease,P5
H22,disease,P5
I22,disease,P5
J22,disease,P5
K22,disease,P5
L22,disease,P5
M22,disease,P5
N22,disease,P5
O22,disease,P5
A23,disease,P5
B23,disease,P5
C23,disease,P5
D23,disease,P5
E23,disease,P5
F23,disease,P5
G23,disease,P5
H23,disease,P5
I23,disease,P5
J23,disease,P5
K23,disease,P5
L23,disease,P5
M23,disease,P5
N23,disease,P5
O23,disease,P5
P23,disease,P5
A24,disease,P5
B24,disease,P5
C24,disease,P5
D24,disease,P5
E24,disease,P5
F24,disease,P5
G24,disease,P5
H24,disease,P5
I24,disease,P5
J24,disease,P5
K24,disease,P5
L24,disease,P5
M24,disease,P5
N24,disease,P5
O24,disease,P5
P24,disease,P5
SRR7093809,no disease,GSE113957
SRR7093874,no disease,GSE113957
SRR7093875,no disease,GSE113957
SRR7093876,no disease,GSE113957
SRR7093877,no disease,GSE113957
SRR7093944,no disease,GSE113957
SRR7093951,no disease,GSE113957
SRR7093810,no disease,GSE113957
SRR7093811,no disease,GSE113957
SRR7093812,no disease,GSE113957
SRR7093813,no disease,GSE113957
SRR7093814,no disease,GSE113957
SRR7093815,no disease,GSE113957
SRR7093816,no disease,GSE113957
SRR7093817,no disease,GSE113957
SRR7093818,no disease,GSE113957
SRR7093819,no disease,GSE113957
SRR7093820,no disease,GSE113957
SRR7093821,no disease,GSE113957
SRR7093822,no disease,GSE113957
SRR7093878,no disease,GSE113957
SRR7093879,no disease,GSE113957
SRR7093880,no disease,GSE113957
SRR7093881,no disease,GSE113957
SRR7093882,no disease,GSE113957
SRR7093883,no disease,GSE113957
SRR7093884,no disease,GSE113957
SRR7093885,no disease,GSE113957
SRR7093886,no disease,GSE113957
SRR7093887,no disease,GSE113957
SRR7093888,no disease,GSE113957
SRR7093889,no disease,GSE113957
SRR7093890,no disease,GSE113957
SRR7093891,no disease,GSE113957
SRR7093892,no disease,GSE113957
SRR7093893,no disease,GSE113957
SRR7093894,no disease,GSE113957
SRR7093895,no disease,GSE113957
SRR7093896,no disease,GSE113957
SRR7093897,no disease,GSE113957
SRR7093898,no disease,GSE113957
SRR7093899,no disease,GSE113957
SRR7093900,no disease,GSE113957
SRR7093901,no disease,GSE113957
SRR7093902,no disease,GSE113957
SRR7093903,no disease,GSE113957
SRR7093904,no disease,GSE113957
SRR7093905,no disease,GSE113957
SRR7093906,no disease,GSE113957
SRR7093907,no disease,GSE113957
SRR7093908,no disease,GSE113957
SRR7093909,no disease,GSE113957
SRR7093927,no disease,GSE113957
SRR7093928,no disease,GSE113957
SRR7093929,no disease,GSE113957
SRR7093930,no disease,GSE113957
SRR7093931,no disease,GSE113957
SRR7093932,no disease,GSE113957
SRR7093933,no disease,GSE113957
SRR7093945,no disease,GSE113957
SRR7093946,no disease,GSE113957
SRR7093947,no disease,GSE113957
SRR7093948,no disease,GSE113957
SRR7093949,no disease,GSE113957
SRR7093950,no disease,GSE113957
